Ensembl Gene ID	Unigene ID
ENSG00000075415	Hs.290404
ENSG00000075856	
ENSG00000075945	Hs.433442
ENSG00000075945	Hs.706155
ENSG00000076003	Hs.602788
ENSG00000076003	Hs.444118
ENSG00000076043	Hs.677190
ENSG00000076043	Hs.740182
ENSG00000076242	Hs.195364
ENSG00000076248	Hs.191334
ENSG00000076641	Hs.598806
ENSG00000076641	Hs.598803
ENSG00000076641	Hs.266175
ENSG00000076641	Hs.609820
ENSG00000076641	Hs.673010
ENSG00000076650	Hs.466436
ENSG00000076924	Hs.9822
ENSG00000077235	Hs.371718
ENSG00000077235	Hs.707935
ENSG00000077238	Hs.513457
ENSG00000077238	Hs.742121
ENSG00000077348	
ENSG00000077514	Hs.82502
ENSG00000077549	Hs.432760
ENSG00000078124	Hs.608049
ENSG00000078124	Hs.606691
ENSG00000078124	Hs.23862
ENSG00000078124	Hs.712340
ENSG00000078124	Hs.717415
ENSG00000078140	Hs.50308
ENSG00000078140	Hs.731985
ENSG00000078140	Hs.733130
ENSG00000078140	Hs.735771
ENSG00000078237	Hs.598023
ENSG00000078237	Hs.504545
ENSG00000078674	Hs.491148
ENSG00000078902	Hs.368527
ENSG00000078902	Hs.724948
ENSG00000079134	Hs.712543
ENSG00000079246	Hs.597412
ENSG00000079435	Hs.656980
ENSG00000079459	Hs.733088
ENSG00000079459	Hs.745428
ENSG00000080189	Hs.593344
ENSG00000080189	Hs.742147
ENSG00000080345	Hs.607851
ENSG00000080345	Hs.601837
ENSG00000080345	Hs.536537
ENSG00000080345	Hs.655671
ENSG00000080345	Hs.685097
ENSG00000080345	Hs.725354
ENSG00000080345	Hs.725538
ENSG00000080345	Hs.725631
ENSG00000080345	Hs.735592
ENSG00000080572	Hs.128836
ENSG00000080608	Hs.493309
ENSG00000080802	Hs.490224
ENSG00000080819	Hs.476982
ENSG00000080819	Hs.700766
ENSG00000080819	Hs.702836
ENSG00000080822	Hs.736136
ENSG00000080986	Hs.414407
ENSG00000081087	Hs.226780
ENSG00000081087	Hs.706947
ENSG00000081087	Hs.707593
ENSG00000081087	Hs.745455
ENSG00000081154	Hs.564411
ENSG00000081154	Hs.663237
ENSG00000081154	Hs.718007
ENSG00000081177	Hs.533878
ENSG00000081721	Hs.416216
ENSG00000081791	Hs.607496
ENSG00000081791	Hs.210532
ENSG00000081870	Hs.641819
ENSG00000082068	Hs.213690
ENSG00000082068	Hs.626133
ENSG00000082213	Hs.519246
ENSG00000082497	Hs.600545
ENSG00000082497	Hs.598841
ENSG00000082497	Hs.734528
ENSG00000082515	Hs.483924
ENSG00000082516	Hs.483921
ENSG00000082898	Hs.370770
ENSG00000082898	Hs.672870
ENSG00000082898	Hs.717708
ENSG00000082929	Hs.177972
ENSG00000083093	Hs.444664
ENSG00000083099	Hs.177275
ENSG00000083099	Hs.622167
ENSG00000083535	Hs.604356
ENSG00000083535	Hs.441926
ENSG00000083635	Hs.525006
ENSG00000083635	Hs.608948
ENSG00000083799	Hs.578973
ENSG00000083799	Hs.432993
ENSG00000083799	Hs.611934
ENSG00000083799	Hs.619311
ENSG00000083799	Hs.693214
ENSG00000083845	
ENSG00000083896	Hs.605625
ENSG00000083896	Hs.593037
ENSG00000084073	Hs.132642
